用例ID,用例名称,优先级,前置条件,测试步骤,预期结果
TC-001,页面正常加载,P0,网络连接正常,打开邀请链接，等待页面加载,页面正常显示，内容完整
TC-002,有效邀请码,P0,有效邀请码,输入邀请码，点击提交,验证成功
TC-003,无效邀请码,P0,无,输入无效邀请码,提示邀请码无效
TC-004,空输入提交,P1,页面加载完成,不输入直接提交,提示请输入邀请码
TC-005,特殊字符处理,P1,页面加载完成,输入特殊字符提交,过滤或提示格式错误
TC-006,长度限制,P2,页面加载完成,输入超长字符,超出部分被截断
TC-007,空格处理,P1,有效邀请码,前后加空格后提交,自动Trim处理
TC-008,大小写敏感,P2,邀请码含字母,输入不同大小写,按产品设计
TC-009,已使用邀请码,P1,已使用的邀请码,输入已使用邀请码,提示已被使用
TC-010,复制粘贴功能,P2,已复制邀请码,粘贴并提交,正常粘贴验证
TC-011,Loading状态,P1,网络正常,点击提交,按钮禁用显示加载中
TC-012,移动端响应式,P2,手机设备,手机打开页面,页面适配正常
TC-013,网络异常,P1,网络断开,输入邀请码提交,提示网络异常
TC-014,关闭按钮,P2,页面加载完成,点击关闭,页面关闭或返回
TC-015,重复提交,P1,输入有效邀请码,快速连续点击,只提交一次
